StatLevel/internal05,Greater Yang
Story/D_8_2_6_2_1_017,"I might really be, you know? A skin‑changing demon, a Thousand Faced ghost."
Story/D_8_2_6_2_1_016,What are you talking about? Where did I say something wrong? People shouldn't eat other people in the first place. Unless Senior Sister is a demon in disguise.
Story/D_8_2_6_2_1_015,"Hahaha, Senior Sister, you said she wouldn't understand this!"
Story/T_8_2_6_2_1_004,"What is this... terror? No, it's something more pure... I am in fear of them. Who on earth is this person?"
Story/D_8_2_6_2_1_048,"The female hero from the south looked at the flavor and found it quite pleasant. In the harsh lands of Lingnan, it turns out such exquisite individuals can also emerge."
Story/D_8_2_6_2_1_014,I am a person; how can I eat?
Story/D_8_2_6_2_1_013,"Heheheh, my clumsy junior sister, there must be limits to your clumsiness. Don't you know that being clumsy can actually endear you to people? If I keep getting this itch, I might just swallow and peel you alive."
Story/D_8_2_6_2_1_012,What's going on... Everyone seems completely unfazed. Did you all know?
Story/D_8_2_6_2_1_011,"Oh, hehe, why am I here one moment and there the next? Who exactly am I? I've confused you, haven't I? It's quite mesmerizing, isn't it?"
Story/D_8_2_6_2_1_010,"Oh? Senior Sister, how come you......?"
Story/D_8_2_6_2_1_009,"Oh, Sister Xian'er, it's you!"
Story/D_8_2_6_2_1_008,"Wait, you just said a couple of words and already drew your sword. The threshold for deciding to kill is way too low! It's me! It's me!"
Story/D_8_2_6_2_1_007,Enough talk is pointless. It doesn't matter who you are; take my sword first.
Story/D_8_2_6_2_1_006,What if I say so?
Story/D_8_2_6_2_1_005,May I ask if it is your intention for the Jinxiang Palace to be enemies with the Tang Clan?
Story/D_8_2_6_2_1_045,Two striking young misses exude a heavy killing intent.
Story/D_8_2_6_2_1_044,"Oh, Sister Xian'er, it's you!"
Story/D_8_2_6_2_1_043,"Oh, oh, hehehe, both of you calm down, it's me! It's me!"
Story/D_8_2_6_2_1_042,Ten breaths? Then you underestimate me too much.
Story/D_8_2_6_2_1_041,"If the outcome is not decided within ten breaths, you should escape on your own."
Story/D_8_2_6_2_1_040,"You really think highly of me, throwing so many people my way."
Story/D_8_2_6_2_1_039,"Southern female hero, please help me restrain the other palace attendants. Do what you can without causing harm. Once I have killed that person, I will come to assist you."
Story/D_8_2_6_2_1_038,So much talk is pointless; it doesn't matter who you are.
Story/D_8_2_6_2_1_037,What if I say so?
Story/D_8_2_6_2_1_036,May I ask if it is your intention for the Jinxiang Palace to be enemies with the Tang Clan?
Story/T_8_2_6_2_1_003,"Good, huh... So you believe me just like that? If I were to strike you from behind with a sword right now, you would be dead."
Story/D_8_2_6_2_1_035,Okay
Story/D_8_2_6_2_1_034,"Lingnan Sect, Nan Xi, allied forces"
Story/D_8_2_6_2_1_033,You are......
Story/D_8_2_6_2_1_032,I have arrived
Story/D_8_2_6_2_1_004,Ah... Sister truly has not spoiled you for nothing.
Story/D_8_2_6_2_1_003,Because you are not my master
Story/D_8_2_6_2_1_002,"Xiang'er, why didn't you call anyone when you saw Master?"
Story/T_8_2_6_2_1_001,"To avoid the disturbance of soundwave techniques, the heroes of the Wulin Alliance all kept their distance. But each woman in Jinxiang Palace is highly skilled in martial arts; how can Xiangan Sister alone defend against them."
Story/D_8_2_6_2_1_001,"Senior Sister, Junior Sister, please think carefully"
Story/O_8_2_6_2_006,Unlock conditions: ???
Story/O_8_2_6_2_005,I will go out for a while; someone is coming.
Story/O_8_2_6_2_004,Close the main gate
Story/D_8_2_6_2_093,"We can't let the other side do as they please. If we have no choice, we must take the initiative! Everyone, follow me!"
Story/O_8_2_6_2_003,Open the gate and drive out of the city.
Story/O_8_2_6_2_002,Unlock conditions: ???
Story/O_8_2_6_2_001,Roar back
Story/D_8_2_6_2_092,That's true!
Story/D_8_2_6_2_091,"Hold on, the sound wave power is nothing to fear. It's just a matter of who can shout louder. On the battlefield, has there ever been a shortage of shouting? We just need to roar back together!"
Story/D_8_2_6_2_090,No way!
Story/D_8_2_6_2_097,Where are they?
Story/D_8_2_6_2_096,Who pulled me...
Story/D_8_2_6_2_095,"Wait, let me go"
Story/D_8_2_6_2_094,No way!
Story/D_8_2_6_2_089,"Sister Xiang, don't act impulsively, wait a moment first‑"
Story/D_8_2_6_2_088,"No, I'll go. I don't need a horse; I'll walk to meet my senior sister."
Story/D_8_2_6_2_087,"Bring a horse here, I'm going"
Story/D_8_2_6_2_086,"...If that is not the case, then we must take the initiative to open the door and confront the battle outside the fortress."
Story/D_8_2_6_2_085,"...I also understand a bit of sound wave technique; perhaps I can roar back. Even if I can't overpower the opponent, I can still offset some of their power."
Story/T_8_2_6_2_008,"Although I do understand a bit about sound wave techniques, my neigong is not as refined as my opponent's. Even if I exhaust all my inner power to roar back, it would be hard to counter the strength of the attack."
Story/D_8_2_6_2_084,"The Eagle Senior Elder Wanli of Songshan was once the chief abbot of the Dharma Hall! His Lion Roar Technique, Fourfold Greatness Scripture, and Eagle Claw Hand were all refined to perfection. Since the Tang Clan is not adept at Neigong, how could they possibly withstand his roar?"
Story/T_8_2_6_2_007,"Didn't Sister Xian'er say that I should trust her that Jinxiang Palace is a friend and not an enemy? Yet now, I have no idea where they have gone."
Story/D_8_2_6_2_083,"Ah, sorry, Miss Long, I certainly wasn't referring to you."
Story/D_8_2_6_2_082,Um...
Story/D_8_2_6_2_081,"The Jinxiang Palace truly repays kindness with malice. We risked our lives to help them at Fengyu Mountain, yet they willingly serve as the foot soldiers of the Wulin Alliance!"
Story/D_8_2_6_2_080,"It seems that they are about to use sonic waves; sound waves penetrate everywhere. Given the distance, even throwing a dart won't reach them. What should we do?"
Story/D_8_2_6_2_079,"The opponent is about to use sonic power, which is formless and intangible, making it extremely difficult to defend against or evade. Moreover, the distance is too great; the traps I set cannot reach them. What should I do?"
Story/T_8_2_6_2_006,"...Forget it. Although you are fickle, you are truly good to me, better than how the Young Lord treats me. While I cannot become your partner, being good friends and good brothers is also acceptable. If things go poorly, we might die today, so there's no need to keep a stern face and hold a grudge against you."
Story/T_8_2_6_2_005,"Are you laughing? You probably think I've forgotten about what happened last time, huh?"
Story/T_8_2_6_2_004,"It seems that the new grievances have overshadowed the old grudges, and for a moment, she forgot about the previous conflict."
Story/T_8_2_6_2_003,"Dead person, I can talk all I want, you don't have to listen. Giving me a hug won't kill you! At most, I'll just punch you a couple of times to save face."
Story/D_8_2_6_2_078,"You won't let me carry you, you won't let me hug you, and you won't even let me leave first. Am I supposed to just drag you along?"
Story/D_8_2_6_2_077,"Huff, huff, you pulled me to run so fast... it's making me... so... so out of breath."
Story/D_8_2_6_2_076,Hmph... Fine then.
Story/D_8_2_6_2_075,"Master, I want to fight alongside you"
Story/D_8_2_6_2_074,"Disciple, why have you come to the front lines instead of staying on the mountain to guard it?"
Story/D_8_2_6_2_073,Could you please stop? I like Little Miss.
Story/D_8_2_6_2_072,"Disciple, I have never missed you this much in a single day!"
Story/D_8_2_6_2_071,I have arrived. What is the situation now?
Story/D_8_2_6_2_070,"However, I think I'll stay a little longer before leaving."
Story/D_8_2_6_2_069,"Nonsense, of course I'm afraid. Do these pats work only on the Sect Leader and Junior Disciple?"
Story/D_8_2_6_2_068,Are you still afraid?
Story/D_8_2_6_2_067,……。
Story/D_8_2_6_2_066,Pat not afraid
Story/D_8_2_6_2_065,"Little Junior Sister, you're here! Time to switch! Time to switch! I didn't expect so many people on the other side; I can't handle this! I'm scared to death."
Story/D_8_2_6_2_064,"Let's do it this way, thanks for the reminder, otherwise, I would have messed things up. I'll go wait in the corner."
Story/D_8_2_6_2_063,It seems like this!
Story/T_8_2_6_2_002,"In case of an emergency, I will take the opportunity to escape while you create a commotion."
Story/D_8_2_6_2_062,"If you exhaust your strength, what will you do when it's time to fight? You need to conserve your energy. Wait until we create a path for you after we fight for a while, then you can take your revenge."
Story/D_8_2_6_2_061,"Brother Fan, listen to me. The people you want to beat up are a bunch of cowards who won't show themselves on the front lines; going now would just be throwing your life away for nothing."
Story/D_8_2_6_2_060,"Let's talk it out, no need for that!"
Story/D_8_2_6_2_059,"Your dog is in our hands. If you dare to make a move against us or make any more noise about opening the door, we will throw that dog out of the fortress and see if it can survive in the chaos!"
Story/D_8_2_6_2_058,That sound is... a dog chicken!
Story/D_8_2_6_2_057,"I know you don't listen to people, but you must listen to dogs, right?"
Story/D_8_2_6_2_056,Who do you think you are? I won't listen to anyone who comes!
Story/D_8_2_6_2_055,"A‑Gou, you'd better not annoy others"
Story/D_8_2_6_2_054,"Let's talk it out, no need for that!"
Story/D_8_2_6_2_053,"Your dog is in our hands. If you dare to make a move against us or make any more noise about opening the door, we will throw that dog out of the fortress and see if it can survive in the chaos!"
Story/D_8_2_6_2_052,That sound is... a dog chicken!
Story/D_8_2_6_2_051,"I know you don't listen to people, but you must listen to dogs, right?"
Story/D_8_2_6_2_050,Who do you think you are? I won't listen to anyone who comes!
Story/D_8_2_6_2_049,"A‑Gou, you'd better not annoy others"
Story/D_8_2_6_2_048,"Ah! Master, please don't! Many people are watching!"
Story/D_8_2_6_2_047,"Ha, you are mistaken in many ways"
Story/D_8_2_6_2_046,"Master, I was wrong; others shouldn't refer to themselves as I in that way."
Story/D_8_2_6_2_045,"Do I need to say it a second time for you, Master?"
Story/D_8_2_6_2_044,"Master, Master!"
Story/D_8_2_6_2_043,Come here
Story/D_8_2_6_2_042,I can't take it anymore! I want to fight! Woof woof!
Story/D_8_2_6_2_041,"Absolutely not, our advantage lies in the outer fortress. Brother Fan, you must be patient."
Story/D_8_2_6_2_040,Why aren't you rushing out to hit their mother yet?
Story/D_8_2_6_2_039,I will also go up to the fortress tower to see the situation.
Story/D_8_2_6_2_038,"Really, is that true? The mention of a general suddenly made it feel more reliable."
Story/D_8_2_6_2_037,"Since the scale has escalated from a brawl to war, this is the domain of the impoverished path. There's nothing to fear; just proceed according to strategy!"
Story/D_8_2_6_2_036,"General, there are simply too many of them, at least more than twice our number. What should we do?"
Story/D_8_2_6_2_035,"Fourth Senior Brother, please be quiet for a moment and stop making noise."
Story/D_8_2_6_2_034,"I have something to attend to, so I'm leaving first. Let's have a meal together another day; I'll treat."
Story/D_8_2_6_2_033,"As a humble practitioner, I have always led the charge in battle, going to the most perilous and treacherous places, often with no return. The fact that the Fourth Hero Tang is willing to accompany me shows their extraordinary courage."
Story/D_8_2_6_2_032,Huh?
Story/D_8_2_6_2_031,"Haha! Good! Fourth Hero Tang, you have great spirit!"
Story/D_8_2_6_2_030,"General Daofa! With you here, I feel at ease. I, Fourth Tang, will follow you."
Story/D_8_2_6_2_029,"Brothers, don't panic, stay calm!"
Story/D_8_2_6_2_028,"Fourth Senior Brother, calm down a bit. Aren't you here to oversee the outer fortress? If even you are this flustered, it will affect the morale of the troops!"
Story/D_8_2_6_2_027,"My goodness, there are so many people! I'm going to die! Is it still possible to sneak out the back door now?"
Story/D_8_2_6_2_026,"Not good, fellow members of the Wulin Alliance, retreat quickly! Activate your internal energy to counter the sound wave!"
Story/D_8_2_6_2_025,"Sure, you'll have all those with insufficient neigong retreating three li away. Old man will activate my power in thirty breaths."
Story/D_8_2_6_2_024,"Senior Wanli, are you going to use the Lion's Roar Skill of the Buddhist sect?"
Story/D_8_2_6_2_023,"You, Old Master Nangong, and I are considered old friends; that's enough. I will lend you a voice."
Story/D_8_2_6_2_022,Exactly
Story/D_8_2_6_2_021,"I have already returned to a secular life, so do not call me Master anymore. I originally intended to ascend the mountain and confront the leader directly, but seeing your worried expression, I came to ask you. Are you concerned that the fortress gate is tightly shut and difficult to breach?"
Story/D_8_2_6_2_020,Master!
Story/D_8_2_6_2_019,Nangong Youngster
Story/D_8_2_6_2_018,"Loquacious, this palace only assists the Wulin Alliance in opening the door, and that is considered fulfilling my duty."
Story/D_8_2_6_2_017,"Master, please hold on; this matter still requires discussion."
Story/D_8_2_6_2_016,Yes!
Story/D_8_2_6_2_015,"Jinxiang Palace, assemble!"
Story/D_8_2_6_2_014,This...
Story/D_8_2_6_2_013,"To prevent you from making excuses to sully the reputation of my palace maids, I will remind you once more. Those with an unstable mind and insufficient neigong cultivation should avoid hearing my guqin music as it may harm their body and mind. You should order all allied parties to retreat three li away for the best."
Story/D_8_2_6_2_012,How did I not think of that? It truly is a brilliant plan!
Story/D_8_2_6_2_011,"It's as easy as pie. This palace will use sound wave techniques to compel them, without losing a single soldier, and they will open the door on their own."
Story/D_8_2_6_2_010,"Greetings, Lady Wen. I am but a dull junior and would not dare to consider myself a strategist in front of the Palace Master. I kindly ask the Palace Master to generously share a good plan with me."
Story/D_8_2_6_2_009,Military strategist
Story/T_8_2_6_2_001,"The problem lies in how to conquer the outer fortress. Although the outer fortress is small, the hidden weapons of the Tang Clan should not be underestimated. A direct confrontation would certainly result in heavy casualties."
Story/D_8_2_6_2_008,"Oh, that's right. Now that you mention it, I understand. It seems the outer fortress must be leveled."
Story/D_8_2_6_2_007,"It's not that complicated. If we are too eager for quick results and bypass the outer fortress to attack the Tang Clan, and we fail to take it in one fell swoop, wouldn't we instead fall into a dire situation of being ambushed? Alternatively, they might do the opposite and send assassins from the outer fortress to directly target the alliance leader; that is also a possibility."
